 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
  111.7899    4.0000    4.9996    4.9678    3.1008    1.7592    3.6588    1.0133  1.3445E+00     -0.0173  7.7909E+00
  111.9442    4.0000    4.9996    4.9673    3.1048    1.7595    3.6597    1.0165  1.2129E+00     -0.0173  8.1504E+00
  112.0986    4.0000    4.9996    4.9669    3.1088    1.7598    3.6606    1.0198  1.0948E+00     -0.0173  8.5162E+00
  112.2529    4.0000    4.9996    4.9664    3.1128    1.7601    3.6614    1.0231  9.8917E-01     -0.0173  8.8868E+00
  112.4072    4.0000    4.9996    4.9659    3.1168    1.7605    3.6622    1.0263  8.9466E-01     -0.0173  9.2604E+00
  112.5615    4.0000    4.9996    4.9655    3.1208    1.7610    3.6630    1.0296  8.1022E-01     -0.0173  9.6349E+00
  112.7159    4.0000    4.9996    4.9650    3.1248    1.7615    3.6637    1.0328  7.3487E-01     -0.0173  1.0008E+01
  112.8702    4.0000    4.9996    4.9645    3.1288    1.7621    3.6644    1.0361  6.6771E-01     -0.0173  1.0377E+01
  113.0245    4.0000    4.9996    4.9640    3.1328    1.7627    3.6651    1.0393  6.0793E-01     -0.0173  1.0741E+01
  113.1788    4.0000    4.9996    4.9635    3.1368    1.7634    3.6658    1.0426  5.5477E-01     -0.0173  1.1095E+01
  113.3332    4.0000    4.9996    4.9630    3.1408    1.7642    3.6664    1.0458  5.0757E-01     -0.0173  1.1437E+01
  113.4875    4.0000    4.9996    4.9625    3.1448    1.7651    3.6669    1.0491  4.6573E-01     -0.0173  1.1765E+01
  113.6418    4.0000    4.9996    4.9620    3.1489    1.7660    3.6675    1.0524  4.2870E-01     -0.0173  1.2076E+01
  113.7961    4.0000    4.9996    4.9615    3.1529    1.7671    3.6679    1.0556  3.9599E-01     -0.0173  1.2366E+01
  113.9505    4.0000    4.9996    4.9610    3.1569    1.7682    3.6684    1.0589  3.6719E-01     -0.0173  1.2633E+01
  114.1048    4.0000    4.9996    4.9605    3.1609    1.7695    3.6688    1.0621  3.4189E-01     -0.0173  1.2874E+01
  114.2591    4.0000    4.9996    4.9600    3.1649    1.7708    3.6691    1.0654  3.1976E-01     -0.0173  1.3087E+01
  114.4134    4.0000    4.9996    4.9594    3.1689    1.7722    3.6694    1.0686  3.0052E-01     -0.0173  1.3269E+01
  114.5678    4.0000    4.9996    4.9589    3.1729    1.7737    3.6696    1.0719  2.8388E-01     -0.0173  1.3418E+01
  114.7221    4.0000    4.9996    4.9583    3.1769    1.7754    3.6698    1.0751  2.6965E-01     -0.0173  1.3533E+01
  114.8764    4.0000    4.9996    4.9578    3.1809    1.7771    3.6699    1.0784  2.5762E-01     -0.0173  1.3610E+01
  115.0307    4.0000    4.9996    4.9572    3.1850    1.7790    3.6700    1.0817  2.4763E-01     -0.0173  1.3650E+01
  115.1851    4.0000    4.9996    4.9566    3.1890    1.7810    3.6700    1.0849  2.3957E-01     -0.0173  1.3650E+01
  115.3394    4.0000    4.9996    4.9560    3.1930    1.7831    3.6699    1.0882  2.3334E-01     -0.0173  1.3611E+01
  115.4937    4.0000    4.9996    4.9555    3.1970    1.7854    3.6698    1.0914  2.2885E-01     -0.0173  1.3531E+01
  115.6480    4.0000    4.9996    4.9549    3.2010    1.7878    3.6696    1.0947  2.2609E-01     -0.0173  1.3410E+01
